epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
21,0.0447473160894293,0.1371298407025525,0.9512214856580712,0.9523809523809524,resnet50,balanced_ce,1337
22,0.0494745719092709,0.0297744056864868,0.9862356061545364,0.9885057471264368,resnet50,balanced_ce,1337
23,0.0325169667673603,0.0100415742418606,0.9972092340383988,0.9967159277504104,resnet50,balanced_ce,1337
24,0.0247665216809921,0.0273736893399717,0.9883009838593274,0.986863711001642,resnet50,balanced_ce,1337
25,0.0145256111356601,0.0324679582367522,0.9942356444514716,0.993431855500821,resnet50,balanced_ce,1337
26,0.0137467815263707,0.0503024582511,0.9883009838593274,0.986863711001642,resnet50,balanced_ce,1337
27,0.0102878110791001,0.0210300934078915,0.9942356444514716,0.993431855500821,resnet50,balanced_ce,1337
28,0.020458347297706,0.0145500490299691,0.9957205176030116,0.9950738916256158,resnet50,balanced_ce,1337
29,0.0117663088892971,0.0081884415569058,0.9986922643188564,0.9983579638752051,resnet50,balanced_ce,1337
30,0.0042133175439146,0.0114340463812871,0.9957205176030116,0.9950738916256158,resnet50,balanced_ce,1337
31,0.0084858789019182,0.0111807836187171,0.9972060312628028,0.9967159277504104,resnet50,balanced_ce,1337
32,0.0052876742980001,0.0053779374051946,0.9986922643188564,0.9983579638752051,resnet50,balanced_ce,1337
33,0.0079918616536128,0.0068137084552272,0.9986922643188564,0.9983579638752051,resnet50,balanced_ce,1337
34,0.0033821591544741,0.0090795997732371,0.9986922643188564,0.9983579638752051,resnet50,balanced_ce,1337
1,0.9389283333386184,0.6927205743069328,0.751669219283093,0.7422003284072249,resnet50,balanced_ce,2025
2,0.6795370287551612,0.390661729784141,0.8683369811253121,0.8489326765188834,resnet50,balanced_ce,2025
3,0.4954012107922448,0.3336026967550538,0.8946355702276149,0.8752052545155994,resnet50,balanced_ce,2025
4,0.3867763027889238,0.683133743024945,0.748023222127804,0.7569786535303776,resnet50,balanced_ce,2025
5,0.3714714999043879,0.8238913156478307,0.7074229456715846,0.7372742200328407,resnet50,balanced_ce,2025
6,0.2885893438109614,0.1629074400868909,0.9492798118111384,0.9392446633825944,resnet50,balanced_ce,2025
