Architecture,Predictive Macro-F1,XAI Insertion,XAI 1-Deletion,Inference Speed,Compactness Params,multicriteria_mean
YOLOv8n-cls,1.0,0.45285410770425605,1.0,1.0,1.0,0.8905708215408513
ResNet50,0.9852941176470604,1.0,0.8019112667260788,0.7147887323943664,0.7382645803698435,0.8480517394274699
Swin-Tiny,0.0073529411764698075,0.0,0.31898008292361946,0.1889671361502349,0.6908487434803224,0.2412297807461293
ViT-B/16,0.0,0.4189605294989706,0.0,0.0,0.0,0.08379210589979412
