architecture,regime,epoch,train_loss_mean,train_loss_min,train_loss_max,validation_loss_mean,validation_loss_min,validation_loss_max,validation_macro_f1_mean,validation_macro_f1_min,validation_macro_f1_max,validation_accuracy_mean,n_seeds
resnet50,balanced_ce,1,0.9322930580471857,0.9176869980165954,0.9517352848564176,0.8684312140413105,0.578875881501998,1.374833618283076,0.676235478767717,0.5149511281992942,0.7813631881950885,0.6955665024630542,5
resnet50,balanced_ce,2,0.6798641967480128,0.6125078419390378,0.7359333746253083,0.5306256245142721,0.390661729784141,0.6828151759255696,0.8057277169686573,0.7572425682721949,0.8683369811253121,0.7829228243021347,5
resnet50,balanced_ce,3,0.5069817364970074,0.440139679691913,0.5761581260625842,0.6124107167136982,0.2826899140247423,1.8761226156075013,0.8593925328517992,0.664505335655583,0.9264961509966304,0.845320197044335,5
resnet50,balanced_ce,4,0.3978913376117632,0.3768856351740121,0.4357009150650882,1.2272792425882515,0.2768461502880494,4.208139609820737,0.7535948889193393,0.4792530936425202,0.8897381848272206,0.7513957307060755,5
resnet50,balanced_ce,5,0.35032811406679015,0.2918833515372762,0.3907002166934927,0.5257391389873038,0.2741003558896054,0.8238913156478307,0.8295595245372404,0.7074229456715846,0.8928161312371838,0.8374384236453203,5
resnet50,balanced_ce,6,0.27554100018970157,0.2452105589381211,0.3183294673586143,0.20148964639606293,0.1470132733042213,0.2930099253140524,0.931255649725531,0.884625601545866,0.9663511164688448,0.9261083743842364,5
resnet50,balanced_ce,7,0.21562445838076366,0.1907479588616711,0.2345908994074446,0.22196310783152612,0.0947060989857688,0.5910119730948619,0.9196234843287268,0.7767545514230517,0.9751654065711796,0.9110016420361248,5
resnet50,balanced_ce,8,0.2101860679170159,0.1971204382987768,0.2315606660604058,0.28184039600954114,0.0870180708678876,0.5045740735428087,0.9147458754697242,0.8484426682002294,0.9674447237797312,0.9126436781609197,5
resnet50,balanced_ce,9,0.16731257099651697,0.1621521056549515,0.1745974496059342,0.28615604489740654,0.1024475089214705,0.7118400376418541,0.8985626901941248,0.7350609881931658,0.9729287107779048,0.8922824302134647,5
resnet50,balanced_ce,10,0.1758070110448477,0.1349377788249763,0.2429227111733441,0.181271330799877,0.1543530252424171,0.2153601075640355,0.9362305832943767,0.904796420653445,0.962075542199664,0.9339901477832513,5
resnet50,balanced_ce,11,0.14286157828970086,0.109498905385918,0.1661273082394172,0.2140364493169083,0.0828559004544159,0.483822122297658,0.9388555004734667,0.8859850790945484,0.9722486101351788,0.9320197044334977,5
resnet50,balanced_ce,12,0.12430210870947614,0.1075125793820027,0.1392853749290711,0.09940972554570818,0.0499751609413653,0.1928705222635531,0.9623873374831676,0.8979364661799493,0.9881680880826016,0.9635467980295568,5
resnet50,balanced_ce,13,0.1246283967486584,0.0922539834466702,0.1407052919553406,0.22844991044180346,0.0651095636077729,0.4994800603690087,0.9281515307249819,0.8432862721355289,0.9803953037243284,0.9172413793103449,5
resnet50,balanced_ce,14,0.10921215039355467,0.0975630314670411,0.144988020530432,0.12779308349604007,0.0468986074635927,0.2622026367986252,0.9561964410192051,0.9004385446631049,0.98611057110729,0.9513957307060756,5
resnet50,balanced_ce,15,0.10047345920009224,0.0828583044548288,0.1154702227948943,0.0872440444885656,0.0249229271126341,0.16949178346704,0.9704276492961469,0.9328451065729272,0.9957297345925512,0.9671592775041052,5
resnet50,balanced_ce,16,0.0795807419719603,0.0644291837094106,0.0910299421351907,0.22530733042859968,0.0457285067853357,0.7591466524612238,0.9356058164037464,0.7919003638005402,0.9908196564950504,0.9349753694581281,5
resnet50,balanced_ce,17,0.06760962506306072,0.0607154736416463,0.073916066259879,0.16238878400608597,0.0214388843377087,0.4542895215142928,0.9517054187159332,0.8746691758712437,0.9972111671748652,0.9464696223316913,5
resnet50,balanced_ce,18,0.06756954171108846,0.0499344672262995,0.0797531487855582,0.07141479197206353,0.0276107386531452,0.1715902522198564,0.9769820421796316,0.9448663746952604,0.993118849292718,0.9743842364532022,5
resnet50,balanced_ce,19,0.05760290251633145,0.0373248933917582,0.0909687530908566,0.1173659181339565,0.0414238268439161,0.2733380250871328,0.9656420767292809,0.9216502882095128,0.98740381106521,0.960919540229885,5
resnet50,balanced_ce,20,0.050100631540265075,0.0387237810269521,0.0566583867967194,0.03882789724983708,0.0109453170727277,0.0760761469844208,0.9867342107086102,0.9645413576039444,0.9985177908945,0.986863711001642,5
resnet50,balanced_ce,21,0.0467035828804047,0.030347630598088,0.0608333931279144,0.0665573862465723,0.0213401996366578,0.1371298407025525,0.978626368697447,0.9512214856580712,0.994426588159032,0.9770114942528736,5
resnet50,balanced_ce,22,0.03244756614277462,0.0259699099899109,0.0494745719092709,0.029764616020687702,0.0142104263236157,0.0452262094023765,0.990070093073499,0.9815885117778872,0.9985177908945,0.9891625615763546,5
resnet50,balanced_ce,23,0.0355564952571221,0.025585882279282,0.0440763702870613,0.04075455907808082,0.0100415742418606,0.0716845539352326,0.9877399269713525,0.9788871855245996,0.9972092340383988,0.9852216748768472,4
resnet50,balanced_ce,24,0.02453211622113895,0.0139248430828755,0.0310595455662116,0.019490601231734274,0.013160270873984,0.0273736893399717,0.9939171476583621,0.9883009838593274,0.9959126139958896,0.9930213464696224,4
resnet50,balanced_ce,25,0.020232254345580052,0.0144350413257593,0.0297828616990351,0.02802022412144525,0.0153463759452786,0.0450963033611758,0.992632064847657,0.9859408070299734,0.9958930818063944,0.9917898193760263,4
resnet50,balanced_ce,26,0.013514117226449199,0.0113154766384286,0.0154800935145483,0.03686560759784457,0.0070428926076404,0.0532514719347933,0.990689417831338,0.9865612383718836,0.9972060312628028,0.9896004378762999,3
resnet50,balanced_ce,27,0.0116373753256227,0.0102878110791001,0.0138482289911928,0.0269455746881309,0.0210300934078915,0.0379551641774144,0.991651133603785,0.9887712161356615,0.9942356444514716,0.9901477832512317,3
resnet50,balanced_ce,28,0.012919916334603834,0.0040497857146374,0.020458347297706,0.014780769489729034,0.0077100834714895,0.0220821759677285,0.9956641658774951,0.9942356444514716,0.9970363355780022,0.9950738916256157,3
resnet50,balanced_ce,29,0.010441900776137152,0.0091174926629772,0.0117663088892971,0.014371717886279,0.0081884415569058,0.0205549942156522,0.997123909937206,0.9955555555555556,0.9986922643188564,0.9967159277504105,2
resnet50,balanced_ce,30,0.0068407002096479005,0.0042133175439146,0.0094680828753812,0.01593776385967965,0.0114340463812871,0.0204414813380722,0.994897945041646,0.9940753724802804,0.9957205176030116,0.9942528735632183,2
resnet50,balanced_ce,31,0.006879721601485001,0.0052735643010518,0.0084858789019182,0.015329082860668149,0.0111807836187171,0.0194773821026192,0.9957208378571372,0.9942356444514716,0.9972060312628028,0.9950738916256157,2
resnet50,balanced_ce,32,0.0049145684135186996,0.0045414625290373,0.0052876742980001,0.01026301614166715,0.0053779374051946,0.0151480948781397,0.997123909937206,0.9955555555555556,0.9986922643188564,0.9967159277504105,2
resnet50,balanced_ce,33,0.0056701463396198,0.0033484310256268,0.0079918616536128,0.01015694359332565,0.0068137084552272,0.0135001787314241,0.997123909937206,0.9955555555555556,0.9986922643188564,0.9967159277504105,2
resnet50,balanced_ce,34,0.0032344117830256,0.0030866644115771,0.0033821591544741,0.012023577327228651,0.0090795997732371,0.0149675548812202,0.997123909937206,0.9955555555555556,0.9986922643188564,0.9967159277504105,2
resnet50,focal_loss,1,1.2939933763614648,1.1716338967606557,1.5242366888820602,1.0759457253861702,1.043655827127654,1.1422643224985534,0.2924176404602923,0.2705562431628479,0.3116466592347562,0.44827586206896547,5
resnet50,focal_loss,2,1.0124512907323184,0.986617072835329,1.0305630848780667,0.8639693911831172,0.8125419235973327,0.9238068781462796,0.46691988097446246,0.4107350425833379,0.4891116094096343,0.5878489326765189,5
resnet50,focal_loss,3,0.7235223664110281,0.6734824273414478,0.8151462310437368,0.4980033082915057,0.4484985688049805,0.5899626082191718,0.7732134726515226,0.6747429016875328,0.8039217098408443,0.7773399014778326,5
resnet50,focal_loss,4,0.5214460816890367,0.4931585012818891,0.5834621558708969,0.4573111018523794,0.4320375938916637,0.4934068313373133,0.7655818176153053,0.7285298313073415,0.7917852055291339,0.7573070607553366,5
resnet50,focal_loss,5,0.46803447851187735,0.4468236710673267,0.486216245049542,0.40407014633047167,0.3559637762642846,0.4883967066437544,0.7924989667126956,0.7483297094639996,0.8271321692698393,0.7802955665024631,5
resnet50,focal_loss,6,0.43563271031962125,0.4267448452947848,0.4507704889313408,0.4205607169171664,0.3568199933651829,0.4861111934549115,0.7850264836192522,0.7529886960627983,0.8127454995822766,0.774055829228243,5
resnet50,focal_loss,7,0.40875521025255396,0.3937050917027076,0.4229843257914947,0.3753602177638726,0.3172716313395007,0.4132849250129486,0.8113564531851987,0.7512858345408142,0.8563377950194242,0.8022988505747126,5
resnet50,focal_loss,8,0.3876085157825993,0.364801592189943,0.4037404918607802,0.38157209322370333,0.314533278076911,0.4259283926295138,0.7975426921768728,0.7654076609106348,0.8425561448973166,0.787192118226601,5
resnet50,focal_loss,9,0.3743864540538385,0.3495690569203013,0.3956218717177848,0.37686861001799254,0.3052225385001923,0.4607989582522162,0.8033842051248039,0.7769643291913018,0.8274589516540711,0.7914614121510672,5
resnet50,focal_loss,10,0.35901242551359436,0.3525810051676678,0.3644972993011843,0.37288005089720677,0.3307631041224562,0.4151292178039676,0.8088323564398262,0.7816009037590878,0.8413124362168891,0.7973727422003284,5
resnet50,focal_loss,11,0.35720515239846307,0.3312555106536785,0.3780449071437487,0.34120630244120387,0.2724974724557403,0.3979815974807112,0.8242812232532799,0.7942031854279759,0.8465170763531477,0.8111658456486042,5
resnet50,focal_loss,12,0.34405429786244673,0.3390403421670984,0.3491191264300857,0.3353031208558231,0.2797151242179432,0.4074647802437467,0.8241925997728314,0.7980090873633203,0.861358884878005,0.8075533661740557,5
resnet50,focal_loss,13,0.33535148317344576,0.3158476486147393,0.3518533171375522,0.32106905594247903,0.2623031343928307,0.3961914433242848,0.8394555109413272,0.7865900900402691,0.8644879473503182,0.8249589490968802,5
resnet50,focal_loss,14,0.32042166808158523,0.3090616350747998,0.3280639988257302,0.3531902189423102,0.2153393095741522,0.4432801932145417,0.8277261191044889,0.7697684536142625,0.8782195809874552,0.8157635467980295,5
resnet50,focal_loss,15,0.31202669587097603,0.2938698191477251,0.3297370392534561,0.32567422947860114,0.2340459335222228,0.3943185965807371,0.8414137333098836,0.810497550991924,0.8965952753389578,0.8275862068965518,5
resnet50,focal_loss,16,0.3043749044083962,0.2876975381102,0.3226890550975431,0.33380578159307217,0.3024070061290597,0.3621953015256985,0.836653969383282,0.8162367727563213,0.8552192439634915,0.8213464696223317,5
resnet50,focal_loss,17,0.30052377034783995,0.2907443139433651,0.309389033478886,0.30716393769081,0.2325675642157618,0.3917819499382244,0.8534065610180251,0.8054122652637005,0.8827452893720571,0.8400656814449917,5
resnet50,focal_loss,18,0.29226879060058897,0.2848103732394418,0.3057209197896646,0.2992211367255948,0.2600514494335318,0.3468242482647716,0.8583629580627476,0.8363051367329845,0.8865265351118794,0.8443349753694582,5
resnet50,focal_loss,19,0.28600629418878853,0.2769642646471938,0.308938510032446,0.29261743598579376,0.2684847408131817,0.3238922283175739,0.8563244655766494,0.8338134193117281,0.8799444850013809,0.8426929392446635,5
resnet50,focal_loss,20,0.28882062058823804,0.2840594054106459,0.2917365571526525,0.2910431473652032,0.2392387154018154,0.348063422051948,0.8651577777174935,0.8390478612797176,0.8885939254943368,0.8493431855500821,4
resnet50,focal_loss,21,0.2732764519764166,0.2648193559034847,0.2865303169863923,0.3142212399072052,0.2526506035785957,0.3742725503659992,0.8474253153536662,0.8179373772505154,0.8667205765879931,0.8312807881773399,4
resnet50,focal_loss,22,0.27753480536918856,0.2696875656950034,0.2897703123846875,0.33485408346298684,0.3091453323614813,0.396485813341313,0.838159525385394,0.8067355801513143,0.8613979647102394,0.8234811165845648,4
resnet50,focal_loss,23,0.2675403917237776,0.2529794552780832,0.2819695224242386,0.2876212150714863,0.2703772109913317,0.3165221800553583,0.8663859942926224,0.8522402554616691,0.8744386069335873,0.8513957307060755,4
resnet50,focal_loss,24,0.274843684299759,0.2566803119513607,0.2932591996995343,0.27911882237880425,0.2333719783473289,0.3302001283673817,0.8654527344463868,0.8386349689373322,0.8798365079392897,0.8511220580186097,3
resnet50,focal_loss,25,0.2649618186724416,0.2639947370192288,0.2665496177644009,0.2899123183449044,0.2609200528494047,0.3325103816923445,0.8609124049084772,0.8460680619117478,0.8846684156400377,0.8472906403940886,3
resnet50,focal_loss,26,0.2712530140874675,0.2631680838672054,0.2793379443077295,0.27681251437891097,0.2416054187051964,0.3120196100526255,0.8715292379891646,0.8542229753564647,0.8888355006218644,0.8579638752052545,2
resnet50,focal_loss,27,0.2600804239459113,0.2600804239459113,0.2600804239459113,0.3064574096198935,0.3064574096198935,0.3064574096198935,0.8471399429486662,0.8471399429486662,0.8471399429486662,0.8275862068965517,1
resnet50,focal_loss,28,0.2563439559643214,0.2563439559643214,0.2563439559643214,0.2830120637303307,0.2830120637303307,0.2830120637303307,0.860311652383319,0.860311652383319,0.860311652383319,0.8390804597701149,1
resnet50,focal_loss,29,0.2661465395733007,0.2661465395733007,0.2661465395733007,0.2607534425501361,0.2607534425501361,0.2607534425501361,0.8687771261284125,0.8687771261284125,0.8687771261284125,0.8489326765188834,1
resnet50,focal_loss,30,0.2569424251156658,0.2569424251156658,0.2569424251156658,0.2753183663576499,0.2753183663576499,0.2753183663576499,0.8601578287450325,0.8601578287450325,0.8601578287450325,0.8423645320197044,1
resnet50,focal_loss,31,0.2586261877380901,0.2586261877380901,0.2586261877380901,0.2799999855324161,0.2799999855324161,0.2799999855324161,0.8710688962338464,0.8710688962338464,0.8710688962338464,0.8505747126436781,1
resnet50,focal_loss,32,0.2817767666178135,0.2817767666178135,0.2817767666178135,0.293115072453942,0.293115072453942,0.293115072453942,0.8569795159576891,0.8569795159576891,0.8569795159576891,0.8374384236453202,1
resnet50,focal_loss,33,0.2501550431620257,0.2501550431620257,0.2501550431620257,0.2201734964287731,0.2201734964287731,0.2201734964287731,0.8954708862232554,0.8954708862232554,0.8954708862232554,0.8784893267651889,1
resnet50,focal_loss,34,0.2598741704391109,0.2598741704391109,0.2598741704391109,0.2416239133707212,0.2416239133707212,0.2416239133707212,0.8857740713484508,0.8857740713484508,0.8857740713484508,0.8686371100164204,1
resnet50,standard_ce,1,0.9655279441583765,0.9428049894963082,0.995453734389508,0.8081284341455877,0.4710900245237429,0.970815663267239,0.6729388974583603,0.4874952014911738,0.8212706375015979,0.7004926108374384,5
resnet50,standard_ce,2,0.6885096065524592,0.6191103768474397,0.7302715059742986,0.4591521319326118,0.4396339885902718,0.5007271715768649,0.846337487744764,0.8361169613367355,0.8631168581706423,0.8325123152709359,5
resnet50,standard_ce,3,0.5327989144987297,0.5051352243588972,0.5695421247417353,0.46754722066089044,0.3998494202084534,0.5210348884460374,0.8354079471630996,0.8068266786103988,0.8728508006025932,0.819704433497537,5
resnet50,standard_ce,4,0.4246845169687522,0.3828982775366369,0.5067916942606492,0.37488075606331867,0.2413864859519086,0.512087805860344,0.8709179330818536,0.8251002126194795,0.9175704178705352,0.8637110016420362,5
resnet50,standard_ce,5,0.35666227165262604,0.3280263858017477,0.3821604501750641,0.2866832756976427,0.153727387364079,0.4219071466249394,0.8764966035502821,0.789227983575395,0.9577321832412105,0.8922824302134647,5
resnet50,standard_ce,6,0.2922117289979344,0.2552919312552115,0.3666502796283715,0.3154187835250659,0.1674201906657179,0.4664561124564391,0.8933286286877022,0.8217296671077862,0.9494411357584902,0.8949096880131362,5
resnet50,standard_ce,7,0.24768475339150542,0.206964468103236,0.2800387019798919,0.2019914662563517,0.0887411077474725,0.4932161161114235,0.9307671752889736,0.8341346841346841,0.9715937783032084,0.9300492610837438,5
resnet50,standard_ce,8,0.20160940173083688,0.1838201795500066,0.220000681326592,0.3284606751764104,0.0722576647305674,0.7783019376310026,0.8988562958582567,0.7854655078959024,0.9840993121123536,0.8893267651888342,5
resnet50,standard_ce,9,0.1853273792242752,0.1672884056380637,0.2217908165000235,0.3486382920790482,0.064005346617039,1.1633197885428743,0.9078902511880198,0.7476780112396524,0.973598289649666,0.9103448275862069,5
resnet50,standard_ce,10,0.18141405829298837,0.1545988875825894,0.2164149547607911,0.13365102613647578,0.0620538670392263,0.2548627965702799,0.9535838785302779,0.8950235633931285,0.980760551060794,0.9556650246305418,5
resnet50,standard_ce,11,0.15949266386190541,0.1353149670236768,0.1906595332430175,0.14849122667514347,0.0600899591099941,0.2129833115505059,0.9527252619937672,0.9268593941650533,0.9813824519706872,0.948111658456486,5
resnet50,standard_ce,12,0.13492174517671018,0.1047303025373413,0.1602027865346056,0.18611144361162457,0.0431773250093698,0.6398931467249108,0.9397435139795676,0.787446666078914,0.9892341060089336,0.9461412151067323,5
resnet50,standard_ce,13,0.13000483911733265,0.0977533675474892,0.1472490524143137,0.06108207453354284,0.031804393281111,0.0829892838476647,0.9817386208817119,0.9730047715211168,0.9905055793113844,0.9793103448275863,5
resnet50,standard_ce,14,0.10916507043805368,0.0729825060195919,0.1413087927368068,0.6025503866147778,0.069159054616772,1.8389222578853608,0.871762594211061,0.619304254106403,0.982501777444707,0.8607553366174056,5
resnet50,standard_ce,15,0.08451882848810723,0.0632387224755042,0.1095341726127678,0.07289720542772579,0.0291703431844124,0.1893154136054548,0.9785789937853566,0.939518819808278,0.9970330056179776,0.9756978653530378,5
resnet50,standard_ce,16,0.08714044334307988,0.0643909129140626,0.1081505207917759,0.14983494342993048,0.0822884718679527,0.2776661227860664,0.9540058195994675,0.9303754812175272,0.9729933499381066,0.9500821018062398,5
resnet50,standard_ce,17,0.08643601245271378,0.0573034462975649,0.1071027659829084,0.07701819792314546,0.0210958250365502,0.1176681535342197,0.9762860590873604,0.9636613756613756,0.9932633919198806,0.9727422003284072,5
resnet50,standard_ce,18,0.0660495103144877,0.0555892414615942,0.0823824592190017,0.04498492586968366,0.0231376586203602,0.0639505565261287,0.987577451775449,0.9819155629508404,0.9944204231349588,0.9865353037766831,5
resnet50,standard_ce,19,0.058762416026386356,0.044342729048918,0.0763729937772327,0.03789339645660284,0.0183612785779233,0.0631012352801284,0.9876512927737131,0.9808713635938208,0.9957205176030116,0.987848932676519,5
resnet50,standard_ce,20,0.06398155081900969,0.0563476169319833,0.0765159446516963,0.07302986774791435,0.0191011787549426,0.1148963421522005,0.9773761202310863,0.9610792133686792,0.9959003656594678,0.9763546798029556,5
resnet50,standard_ce,21,0.03762258477691516,0.024649268683285,0.0490045482790349,0.25777104795062245,0.0218706015007698,0.8433915926990357,0.9276793003424034,0.7896825461872076,0.9919465402242218,0.9241379310344827,5
resnet50,standard_ce,22,0.03729053778686806,0.0275027444451124,0.0417338759995185,0.06884833784320202,0.0117385563272784,0.2216773973544438,0.9723959333667063,0.9051011023805684,0.9959460448729482,0.9773399014778323,5
